Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Knife River Indian Villages NHS,,,,,185,70,,,-115,245,,132,,-113,
Kobuk Valley NP,,,,,"10,027","9,835",,,-192,"20,644",,"20,182",,-462,
Korean War Veterans MEM,,,,,"101,079","77,600",,,"-23,479","172,531",,"145,267",,"-27,264",
Lake Chelan NRA,,,,,"2,805","2,693",,,-112,"4,697",,"4,749",,52,
Lake Mead NRA,,,,,"3,454,044","3,120,726",,,"-333,318","6,549,301",,"6,085,278",,"-464,023",
Lake Meredith NRA,,,,,"417,456","231,715",,,"-185,741","593,598",,"522,233",,"-71,365",
Lake Roosevelt NRA,,,,,"92,978","101,395",,,"8,417","154,743",,"178,855",,"24,112",
Lassen Volcanic NP,,,,,"41,892","40,602",,,"-1,290","85,260",,"87,423",,"2,163",
Lava Beds NM,,,,,"20,850","24,326",,,"3,476","30,885",,"43,816",,"12,931",
LBJ Memorial Grove on the Potomac,,,,,"7,777","8,100",,,323,"12,481",,"12,825",,344,
Lewis & Clark NHP,,,,,"10,615","7,496",,,"-3,119","19,213",,"18,945",,-268,
Lincoln Boyhood NMEM,,,,,"2,467","1,641",,,-826,"4,218",,"3,934",,-284,
Lincoln Home NHS,,,,,"4,308","3,557",,,-751,"6,197",,"5,611",,-586,
Lincoln MEM,,,,,"236,032","181,205",,,"-54,827","420,251",,"355,664",,"-64,587",
Little Bighorn Battlefield NM,,,,,636,217,,,-419,"1,155",,484,,-671,
Little River Canyon NPRES,,,,,"34,460","35,803",,,"1,343","59,394",,"64,819",,"5,425",
Little Rock Central High School NHS,,,,,"4,340","3,437",,,-903,"6,717",,"5,775",,-942,
Longfellow House Washington's HQ NHS,,,,,"5,214","2,648",,,"-2,566","9,308",,"5,498",,"-3,810",
Lowell NHP,,,,,"8,796","7,308",,,"-1,488","17,584",,"16,612",,-972,
Lyndon B. Johnson NHP,,,,,"32,361","7,179",,,"-25,182","63,363",,"14,368",,"-48,995",
Maggie L. Walker NHS,,,,,861,759,,,-102,"1,111",,"1,265",,154,
Mammoth Cave NP,,,,,"155,675","120,587",,,"-35,088","255,777",,"213,150",,"-42,627",
Manassas NBP,,,,,"26,869","39,777",,,"12,908","44,293",,"58,316",,"14,023",
Manhattan Project NHP,,,,,"1,164","1,876",,,712,"1,671",,"3,574",,"1,903",
Manzanar NHS,,,,,"6,951","6,671",,,-280,"13,127",,"13,065",,-62,
Marsh-Billings-Rockefeller NHP,,,,,"5,806","5,374",,,-432,"9,822",,"8,468",,"-1,354",
"Martin Luther King, Jr. MEM",,,,,"81,840","65,616",,,"-16,224","139,925",,"112,725",,"-27,200",
"Martin Luther King, Jr. NHP",,,,,"34,534","72,368",,,"37,834","286,013",,"188,642",,"-97,371",
Martin Van Buren NHS,,,,,"1,116",531,,,-585,"2,061",,934,,"-1,127",
Mary McLeod Bethune Council House NHS,,,,,824,960,,,136,980,,"1,212",,232,
Medgar and Myrlie Evers Home NM,,,,,"3,171","3,276",,,105,"5,749",,"6,347",,598,
Mesa Verde NP,,,,,"30,574","30,579",,,5,"54,839",,"60,422",,"5,583",
Mill Springs Battlefield NM,,,,,647,260,,,-387,"1,080",,737,,-343,
Minidoka NHS,,,,,71,1,,,-70,71,,1,,-70,
Minute Man NHP,,,,,"61,371","62,201",,,830,"123,387",,"103,715",,"-19,672",
Minuteman Missile NHS,,,,,522,512,,,-10,917,,915,,-2,
Mississippi NRRA,,,,,"32,402","17,536",,,"-14,866","64,045",,"35,845",,"-28,200",
Missouri NRR,,,,,"6,482","6,211",,,-271,"13,861",,"13,211",,-650,
Mojave NPRES,,,,,"137,218","302,537",,,"165,319","281,463",,"665,134",,"383,671",
Monocacy NB,,,,,"19,785","12,030",,,"-7,755","33,010",,"23,591",,"-9,419",
Montezuma Castle NM,,,,,"29,926","32,189",,,"2,263","52,640",,"57,302",,"4,662",
Moores Creek NB,,,,,"4,457","4,178",,,-279,"6,743",,"6,062",,-681,
Morristown NHP,,,,,"14,293","12,460",,,"-1,833","26,489",,"24,450",,"-2,039",
Mount Rainier NP,,,,,"110,162","63,664",,,"-46,498","195,511",,"203,926",,"8,415",
Mount Rushmore NMEM,,,,,"24,461","20,849",,,"-3,612","43,251",,"40,526",,"-2,725",
Muir Woods NM,,,,,"41,934","56,361",,,"14,427","94,461",,"122,342",,"27,881",
Natchez NHP,,,,,"4,465","5,738",,,"1,273","8,445",,"8,629",,184,
Natchez Trace PKWY,,,,,"2,463,405","2,141,133",,,"-322,272","4,521,510",,"4,384,229",,"-137,281",
National Capital Parks Central,,,,,"32,697","19,951",,,"-12,746","52,761",,"31,656",,"-21,105",
National Capital Parks East,,,,,"98,648","152,507",,,"53,859","181,460",,"266,878",,"85,418",
National Park of American Samoa,,,,,"3,090","12,112",,,"9,022","5,848",,"18,009",,"12,161",
Natural Bridges NM,,,,,"6,592","6,838",,,246,"10,950",,"13,007",,"2,057",
Navajo NM,,,,,"3,414","3,987",,,573,"5,193",,"7,401",,"2,208",
New Bedford Whaling NHP,,,,,36,25,,,-11,59,,51,,-8,
