Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Horseshoe Bend NMP,,,,,"4,698","3,971",,,-727,"7,699",,"6,955",,-744,
Hot Springs NP,,,,,"230,444","231,464",,,"1,020","376,037",,"337,649",,"-38,388",
Hovenweep NM,,,,,652,615,,,-37,"1,066",,876,,-190,
Hubbell Trading Post NHS,,,,,"2,640","2,849",,,209,"5,281",,"5,581",,300,
Ice Age NST,,,,,"1,795","1,048",,,-747,"4,397",,"1,845",,"-2,552",
Independence NHP,,,,,"149,430","102,972",,,"-46,458","264,173",,"212,925",,"-51,248",
Indiana Dunes NP,,,,,"92,355","63,726",,,"-28,629","153,980",,"147,351",,"-6,629",
James A. Garfield NHS,,,,,"2,667","2,205",,,-462,"3,604",,"2,965",,-639,
Jean Lafitte NHP & PRES,,,,,"18,067","14,011",,,"-4,056","30,501",,"27,977",,"-2,524",
Jewel Cave NM,,,,,913,402,,,-511,"1,508",,560,,-948,
Jimmy Carter NHP,,,,,"2,754","2,754",,,0,"4,424",,"9,169",,"4,745",
"John D. Rockefeller, Jr. MEM PKWY",,,,,424,"1,816",,,"1,392",928,,"3,456",,"2,528",
John Day Fossil Beds NM,,,,,"2,335","1,478",,,-857,"4,051",,"3,259",,-792,
John F. Kennedy NHS,,,,,8,107,,,99,24,,234,,210,
John Muir NHS,,,,,"2,989","3,333",,,344,"6,067",,"6,109",,42,
Johnstown Flood NMEM,,,,,"2,934","3,872",,,938,"4,451",,"6,577",,"2,126",
Joshua Tree NP,,,,,"283,582","298,792",,,"15,210","535,246",,"576,896",,"41,650",
Kalaupapa NHP,,,,,"3,649","2,478",,,"-1,171","7,553",,"5,408",,"-2,145",
Kaloko Honokohau NHP,,,,,"32,077","32,496",,,419,"66,811",,"65,281",,"-1,530",
Katahdin Woods and Waters NM,,,,,"8,444","6,934",,,"-1,510","12,142",,"8,058",,"-4,084",
Kenai Fjords NP,,,,,55,24,,,-31,101,,57,,-44,
Kennesaw Mountain NBP,,,,,"101,023","94,372",,,"-6,651","171,639",,"158,652",,"-12,987",
Keweenaw NHP,,,,,239,260,,,21,278,,307,,29,
Kings Canyon NP,,,,,"12,782","15,889",,,"3,107","28,413",,"39,340",,"10,927",
Kings Mountain NMP,,,,,"14,858","11,328",,,"-3,530","24,783",,"24,065",,-718,
Klondike Gold Rush NHP Seattle,,,,,"3,248","3,348",,,100,"6,293",,"6,979",,686,
Knife River Indian Villages NHS,,,,,131,55,,,-76,177,,106,,-71,
Kobuk Valley NP,,,,,727,715,,,-12,"1,594",,"1,597",,3,
Korean War Veterans MEM,,,,,"202,158","155,200",,,"-46,958","345,063",,"290,534",,"-54,529",
Lake Chelan NRA,,,,,"1,000","1,036",,,36,"1,946",,"2,064",,118,
Lake Mead NRA,,,,,"448,351","394,204",,,"-54,147","857,488",,"768,574",,"-88,914",
Lake Meredith NRA,,,,,"75,496","42,072",,,"-33,424","106,004",,"94,229",,"-11,775",
Lake Roosevelt NRA,,,,,"48,804","53,004",,,"4,200","81,048",,"91,585",,"10,537",
Lassen Volcanic NP,,,,,"6,786","6,438",,,-348,"13,902",,"13,965",,63,
Lava Beds NM,,,,,"7,536","9,443",,,"1,907","10,746",,"16,807",,"6,061",
LBJ Memorial Grove on the Potomac,,,,,"15,555","16,200",,,645,"24,963",,"25,650",,687,
Lewis & Clark NHP,,,,,"10,365","7,313",,,"-3,052","18,773",,"18,469",,-304,
Lincoln Boyhood NMEM,,,,,"2,193","1,459",,,-734,"3,749",,"3,497",,-252,
Lincoln Home NHS,,,,,"4,793","3,958",,,-835,"6,903",,"6,255",,-648,
Lincoln MEM,,,,,"472,064","362,411",,,"-109,653","840,501",,"711,328",,"-129,173",
Little Bighorn Battlefield NM,,,,,636,217,,,-419,"1,155",,484,,-671,
Little River Canyon NPRES,,,,,"41,651","43,114",,,"1,463","72,970",,"79,618",,"6,648",
Little Rock Central High School NHS,,,,,"4,340","3,437",,,-903,"6,717",,"5,775",,-942,
Longfellow House Washington's HQ NHS,,,,,"3,476","1,765",,,"-1,711","6,205",,"3,665",,"-2,540",
Lowell NHP,,,,,"5,145","3,920",,,"-1,225","9,952",,"9,078",,-874,
Lyndon B. Johnson NHP,,,,,"10,406","3,121",,,"-7,285","20,345",,"6,265",,"-14,080",
Maggie L. Walker NHS,,,,,574,506,,,-68,741,,843,,102,
Mammoth Cave NP,,,,,"27,516","21,056",,,"-6,460","45,706",,"37,306",,"-8,400",
Manassas NBP,,,,,"35,825","53,036",,,"17,211","59,057",,"77,754",,"18,697",
Manhattan Project NHP,,,,,"2,222","3,729",,,"1,507","3,138",,"7,104",,"3,966",
Manzanar NHS,,,,,"4,634","4,448",,,-186,"8,752",,"8,711",,-41,
Marsh-Billings-Rockefeller NHP,,,,,"2,903","2,687",,,-216,"4,911",,"4,234",,-677,
"Martin Luther King, Jr. MEM",,,,,"163,680","131,232",,,"-32,448","279,851",,"225,451",,"-54,400",
"Martin Luther King, Jr. NHP",,,,,"22,844","47,806",,,"24,962","177,934",,"123,722",,"-54,212",
Martin Van Buren NHS,,,,,"1,075",531,,,-544,"1,983",,934,,"-1,049",
Mary McLeod Bethune Council House NHS,,,,,412,480,,,68,490,,606,,116,
Medgar and Myrlie Evers Home NM,,,,,"6,342","6,552",,,210,"11,498",,"12,693",,"1,195",
Mesa Verde NP,,,,,"6,794","6,795",,,1,"12,186",,"13,427",,"1,241",
Mill Springs Battlefield NM,,,,,309,130,,,-179,525,,368,,-157,
Minidoka NHS,,,,,36,1,,,-35,36,,1,,-35,
Minute Man NHP,,,,,"40,914","41,468",,,554,"82,258",,"69,144",,"-13,114",
Minuteman Missile NHS,,,,,594,457,,,-137,"1,012",,940,,-72,
Mississippi NRRA,,,,,"20,402","12,516",,,"-7,886","40,045",,"25,825",,"-14,220",
Missouri NRR,,,,,"6,482","6,211",,,-271,"13,861",,"13,211",,-650,
Mojave NPRES,,,,,"22,114","47,369",,,"25,255","45,591",,"105,562",,"59,971",
Monocacy NB,,,,,"9,713","4,965",,,"-4,748","15,850",,"9,555",,"-6,295",
Montezuma Castle NM,,,,,"29,926","32,189",,,"2,263","52,640",,"57,302",,"4,662",
Moores Creek NB,,,,,"7,131","6,685",,,-446,"10,788",,"9,699",,"-1,089",
Morristown NHP,,,,,"9,099","8,296",,,-803,"17,184",,"16,281",,-903,
Mount Rainier NP,,,,,"22,032","12,733",,,"-9,299","39,102",,"40,785",,"1,683",
Mount Rushmore NMEM,,,,,"18,578","15,835",,,"-2,743","32,849",,"30,779",,"-2,070",
Muir Woods NM,,,,,"31,458","42,281",,,"10,823","70,863",,"91,779",,"20,916",
Natchez NHP,,,,,642,999,,,357,"1,555",,"1,727",,172,
Natchez Trace PKWY,,,,,"613,921","532,726",,,"-81,195","1,126,244",,"1,090,959",,"-35,285",
National Capital Parks Central,,,,,"35,039","24,877",,,"-10,162","60,462",,"43,966",,"-16,496",
National Capital Parks East,,,,,"54,999","70,604",,,"15,605","102,080",,"126,216",,"24,136",
National Park of American Samoa,,,,,"1,545","6,056",,,"4,511","2,924",,"9,005",,"6,081",
Natural Bridges NM,,,,,"1,159","1,520",,,361,"2,066",,"2,891",,825,
Navajo NM,,,,,"1,422","1,754",,,332,"2,173",,"3,336",,"1,163",
New Bedford Whaling NHP,,,,,727,491,,,-236,"1,179",,"1,011",,-168,
New Orleans Jazz NHP,,,,,"3,335","4,903",,,"1,568","6,689",,"8,697",,"2,008",
New River Gorge NP & PRES,,,,,"39,060","66,345",,,"27,285","79,092",,"110,017",,"30,925",
Nez Perce NHP,,,,,"22,115","18,721",,,"-3,394","43,009",,"42,252",,-757,
Nicodemus NHS,,,,,113,117,,,4,161,,187,,26,
Ninety Six NHS,,,,,"7,889","6,733",,,"-1,156","12,807",,"10,066",,"-2,741",
Niobrara NSR,,,,,453,423,,,-30,"1,221",,"1,045",,-176,
Noatak NPRES,,,,,877,875,,,-2,"1,744",,"1,757",,13,
North Cascades NP,,,,,64,6,,,-58,108,,23,,-85,
Obed W&SR,,,,,"11,202","11,751",,,549,"29,117",,"25,141",,"-3,976",
Ocmulgee Mounds NHP,,,,,"9,988","10,224",,,236,"17,967",,"17,219",,-748,
Olympic NP,,,,,"117,866","115,894",,,"-1,972","218,576",,"215,489",,"-3,087",
Oregon Caves NM & PRES,,,,,526,432,,,-94,"1,020",,864,,-156,
Organ Pipe Cactus NM,,,,,"26,596","26,306",,,-290,"48,533",,"46,650",,"-1,883",
Ozark NSR,,,,,"20,826","19,686",,,"-1,140","39,085",,"33,699",,"-5,386",
Padre Island NS,,,,,"32,344","27,249",,,"-5,095","55,564",,"74,292",,"18,728",
Palo Alto Battlefield NHP,,,,,"22,678","21,263",,,"-1,415","35,629",,"48,826",,"13,197",
Paterson Great Falls NHP,,,,,"7,856","8,295",,,439,"17,057",,"16,567",,-490,
Pea Ridge NMP,,,,,"6,307","6,863",,,556,"11,004",,"10,435",,-569,
Pearl Harbor NMEM,,,,,"127,218","115,798",,,"-11,420","244,131",,"238,916",,"-5,215",
Pecos NHP,,,,,"1,771","2,043",,,272,"3,132",,"3,452",,320,
Pennsylvania Avenue NHS,,,,,"10,097","8,879",,,"-1,218","20,043",,"19,236",,-807,
Perry's Victory & Intl. Peace MEM,,,,,"1,170",979,,,-191,"2,144",,"1,876",,-268,
Petersburg NB,,,,,"10,404","26,740",,,"16,336","17,514",,"65,740",,"48,226",
Petrified Forest NP,,,,,"23,096","23,096",,,0,"44,660",,"45,058",,398,
Petroglyph NM,,,,,"26,078","27,982",,,"1,904","51,082",,"51,010",,-72,
Pictured Rocks NL,,,,,"13,348","19,961",,,"6,613","22,382",,"32,440",,"10,058",
Pinnacles NP,,,,,"20,006","26,892",,,"6,886","41,523",,"57,234",,"15,711",
Pipe Spring NM,,,,,"1,074",952,,,-122,"1,599",,"1,721",,122,
Pipestone NM,,,,,942,548,,,-394,"1,290",,"1,128",,-162,
