ParkName,Date,RecreationVisits,predicted,lower_bound,upper_bound
Shenandoah NP,2013-10-01,112754.0,243381.19193595933,185016.5168621691,301745.8670097496
Shenandoah NP,2013-11-01,98409.0,39763.91519041204,-18600.75988337818,98128.59026420226
Shenandoah NP,2014-10-01,252800.0,177687.75019103813,119323.07511724994,236052.4252648263
Shenandoah NP,2020-03-01,133333.0,53330.169580961556,-5034.50549282501,111694.84465474813
Shenandoah NP,2020-04-01,11514.0,138040.12758932236,79675.45251553578,196404.80266310895
Shenandoah NP,2020-05-01,46903.0,125135.25155467555,66770.57648088897,183499.92662846213
Shenandoah NP,2020-07-01,244677.0,177983.73189360218,119619.0568198156,236348.40696738876
Shenandoah NP,2020-10-01,365398.0,255865.86737058338,197501.1922967968,314230.54244436993
Theodore Roosevelt NP,1979-05-01,42398.0,15545.49331490723,-6491.618169248208,37582.60479906267
Theodore Roosevelt NP,1979-06-01,89578.0,31703.608615405697,9786.29587824034,53620.92135257105
Theodore Roosevelt NP,1979-07-01,136276.0,65064.301320714534,43231.232951909085,86897.36968951998
Theodore Roosevelt NP,1979-08-01,137471.0,99613.13553980827,77835.55001086481,121390.72106875172
Theodore Roosevelt NP,1979-09-01,67893.0,105411.00880306038,83663.46801398347,127158.5495921373
Theodore Roosevelt NP,1979-10-01,38062.0,64170.3837605087,42431.05081196157,85909.71670905584
