year,state,state_po,Winner,PreviousWinner,Flipped,FlipType,TotalVisits,VisitChangeFromPrevYear,VisitChangeToNextYear,VisitChange2YearsAfter
1984,NEW MEXICO,NM,REPUBLICAN,REPUBLICAN,False,No Flip,1256500,4.239862020104646,6.83907680063669,1.8611221647433347
1988,NEW MEXICO,NM,REPUBLICAN,REPUBLICAN,False,No Flip,1342433,6.83907680063669,-4.659301432548216,-12.45902030119939
1992,NEW MEXICO,NM,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,1279885,-4.659301432548216,-8.180891251948417,-23.031444231317657
1996,NEW MEXICO,NM,DEMOCRAT,DEMOCRAT,False,No Flip,1175179,-8.180891251948417,-16.17370630346526,-26.04786164490686
2000,NEW MEXICO,NM,DEMOCRAT,DEMOCRAT,False,No Flip,985109,-16.17370630346526,-11.779305640289552,-14.336078545622872
2004,NEW MEXICO,NM,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,869070,-11.779305640289552,-2.8981554995569976,-4.671890641720459
2008,NEW MEXICO,NM,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,843883,-2.8981554995569976,-1.8266750248553412,21.173906809356275
2012,NEW MEXICO,NM,DEMOCRAT,DEMOCRAT,False,No Flip,828468,-1.8266750248553412,23.428545218403123,-27.671557622020405
2016,NEW MEXICO,NM,DEMOCRAT,DEMOCRAT,False,No Flip,1022566,23.428545218403123,-41.4005550741957,
2020,NEW MEXICO,NM,DEMOCRAT,DEMOCRAT,False,No Flip,599218,-41.4005550741957,,
1980,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,603210,,-38.8910992854893,-30.362891861872317
1984,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,368615,-38.8910992854893,13.955753292730899,30.85441449751095
1988,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,420058,13.955753292730899,14.829142642206552,5.340929109789601
1992,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,482349,14.829142642206552,-8.262896782205416,-9.113318364918348
1996,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,442493,-8.262896782205416,-0.9270203144456522,8.74002526593641
2000,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,438391,-0.9270203144456522,9.757499583704957,19.38703121186338
2004,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,481167,9.757499583704957,8.773461189150545,34.492390375898594
2008,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,523382,8.773461189150545,23.64448911120367,45.29693417045294
2012,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,647133,23.64448911120367,17.511856140855127,-13.791909854697565
2016,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,760458,17.511856140855127,-26.638815029889884,
2020,NORTH DAKOTA,ND,REPUBLICAN,REPUBLICAN,False,No Flip,557881,-26.638815029889884,,
1980,OHIO,OH,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,563300,,82.58902893662346,120.02716137049529
1984,OHIO,OH,REPUBLICAN,REPUBLICAN,False,No Flip,1028524,82.58902893662346,20.504042686412763,39.93392473097371
1988,OHIO,OH,REPUBLICAN,REPUBLICAN,False,No Flip,1239413,20.504042686412763,16.123842496407573,179.61413991946188
1992,OHIO,OH,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,1439254,16.123842496407573,140.78960350292581,131.34999103702333
1996,OHIO,OH,DEMOCRAT,DEMOCRAT,False,No Flip,3465574,140.78960350292581,-3.9202741017793876,-4.581145865013992
2000,OHIO,OH,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,3329714,-3.9202741017793876,-0.6878368532552646,-15.054656345860334
2004,OHIO,OH,REPUBLICAN,REPUBLICAN,False,No Flip,3306811,-0.6878368532552646,-14.466324201776274,-30.450182970844114
2008,OHIO,OH,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,2828437,-14.466324201776274,-18.68721134676148,-14.32052402086382
2012,OHIO,OH,DEMOCRAT,DEMOCRAT,False,No Flip,2299881,-18.68721134676148,5.370234372995821,19.816112224936855
2016,OHIO,OH,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,2423390,5.370234372995821,13.709638151515028,
2020,OHIO,OH,REPUBLICAN,REPUBLICAN,False,No Flip,2755628,13.709638151515028,,
1980,OREGON,OR,REPUBLICAN,REPUBLICAN,False,No Flip,484256,,3.2398153043018567,-3.1516388026167976
1984,OREGON,OR,REPUBLICAN,REPUBLICAN,False,No Flip,499945,3.2398153043018567,-6.1908809969096605,2.3112542379661765
